Species	Family
Gloiosaccion	Florideophyceae
Irvinea	Florideophyceae
Irvinea ardreana	Florideophyceae
Leptosomia	Florideophyceae
Leptosomia rosea	Florideophyceae
Semnocarpa	Florideophyceae
Semnocarpa minuta	Florideophyceae
Sparlingia	Florideophyceae
Sparlingia pertusa	Florideophyceae
Webervanbossea	Florideophyceae
Webervanbossea splachnoides	Florideophyceae
Porphyra insolita	Bangiophyceae
Porphyra dioica	Bangiophyceae
Pyropia pseudolinearis	Bangiophyceae
Porphyra drachii	Bangiophyceae
Compsopogonopsis	Compsopogonophyceae
Compsopogonopsis leptoclados	Compsopogonophyceae
Smithora naiadum	Compsopogonophyceae
Onikusa sp. No103	Florideophyceae
Gelidiella ligulata	Florideophyceae
Gelidium linoides	Florideophyceae
Gelidium subfastigiatum	Florideophyceae
Acanthopeltis	Florideophyceae
Acanthopeltis japonica	Florideophyceae
Yatabella	Florideophyceae
Yatabella hirsuta	Florideophyceae
Griffithsia japonica	Florideophyceae
Galdieria	Bangiophyceae
Galdieria partita	Bangiophyceae
Hildenbrandia sp.	Florideophyceae
Amphiroa dilitata	Florideophyceae
Weeksia	Florideophyceae
Weeksia sp.	Florideophyceae
Symphyocladia	Florideophyceae
Symphyocladia marchantioides	Florideophyceae
Caloglossa postiae	Florideophyceae
Caloglossa stipitata	Florideophyceae
Areschougia ligulata	Florideophyceae
Callophycus oppositifolius	Florideophyceae
Eucheuma arnoldii	Florideophyceae
Kappaphycus cottonii	Florideophyceae
Kappaphycus striatus	Florideophyceae
Solieria chordalis	Florideophyceae
Solieria robusta	Florideophyceae
Solieria sp. (in: Rhodophyta)	Florideophyceae
Betaphycus	Florideophyceae
Betaphycus philippinensis	Florideophyceae
Erythroclonium	Florideophyceae
Erythroclonium angustatum	Florideophyceae
Rhabdonia	Florideophyceae
Rhabdonia clavigera	Florideophyceae
Sarconema	Florideophyceae
Sarconema filiforme	Florideophyceae
Erythroclonium muelleri	Florideophyceae
Rhabdonia coccinea	Florideophyceae
Meristiella	Florideophyceae
Meristiella gelidium	Florideophyceae
Meristotheca	Florideophyceae
Meristotheca papulosa	Florideophyceae
Agardhiella sp.	Florideophyceae
Agardhiella ramosissima	Florideophyceae
Meristotheca procumbens	Florideophyceae
Meristiella sp.	Florideophyceae
Meristotheca sp.	Florideophyceae
Neurymenia	Florideophyceae
Neurymenia fraxinifolia	Florideophyceae
Titanoderma	Florideophyceae
Lithophyllum incrustans	Florideophyceae
Rhodella reticulata	Rhodellophyceae
Chrysymenia wrightii	Florideophyceae
Hymenocladia	Florideophyceae
Hymenocladia chondricola	Florideophyceae
Erythrocladia sp. UTEX1637	Compsopogonophyceae
Dasya hutchinsiae	Florideophyceae
Dasya ocellata	Florideophyceae
Eupogodon	Florideophyceae
Eupogodon planus	Florideophyceae
Heterosiphonia	Florideophyceae
Heterosiphonia gibbesii	Florideophyceae
Lophocladia	Florideophyceae
Lophocladia trichoclados	Florideophyceae
Eupogodon spinellus	Florideophyceae
Heterosiphonia plumosa	Florideophyceae
Chondracanthus exasperatus	Florideophyceae
Chondracanthus harveyanus	Florideophyceae
Chondracanthus tenellus	Florideophyceae
Chondracanthus tepidus	Florideophyceae
Chondrus armatus	Florideophyceae
Gigartina divaricata	Florideophyceae
Mazzaella cobinae	Florideophyceae
Mazzaella coriacea	Florideophyceae
Mazzaella japonica	Florideophyceae
Mazzaella rosea	Florideophyceae
Sarcothalia ancistroclada	Florideophyceae
Sarcothalia circumcincta	Florideophyceae
Sarcothalia crassifolia	Florideophyceae
Sirodotia tenuissima	Florideophyceae
Osmundea	Florideophyceae
Osmundea pinnatifida	Florideophyceae
Laurencia	Florideophyceae
Laurencia cf. perforata	Florideophyceae
Laurencia thyrsifera	Florideophyceae
Laurencia viridis	Florideophyceae
Caloglossa intermedia	Florideophyceae
Gelidium tenuifolium	Florideophyceae
Chroodactylon	Bangiophyceae
Bangia fuscopurpurea	Bangiophyceae
Nemalionopsis	Florideophyceae
Nemalionopsis tortuosa	Florideophyceae
Rhodosorus	Stylonematophyceae
